locale,display_order,headline,supporting_copy,before_label,after_label
de-DE,1,Alle PDF-Werkzeuge. / Eine ruhige App.,"Öffnen, scannen, organisieren und komprimieren.",VORHER,NACHHER
de-DE,2,Vom schiefen Foto / zum sauberen PDF.,"Zuschneiden, korrigieren und optimieren.",VORHER,NACHHER
de-DE,3,Ungestört lesen.,"Flüssig zoomen, suchen und Lesezeichen setzen.",VORHER,NACHHER
de-DE,4,Kleinere Datei. Klare Seiten.,Größe vor dem Speichern vergleichen.,VORHER,NACHHER
de-DE,5,Fotos in professionelle / PDFs verwandeln.,"Anordnen, drehen und Layout wählen.",VORHER,NACHHER
de-DE,6,Sicher zusammenführen / und sortieren.,Jede Seite vor dem Speichern prüfen.,VORHER,NACHHER
de-DE,7,Deine Dokumente bleiben / auf deinem Gerät.,Die PDF-Verarbeitung erfolgt lokal.,VORHER,NACHHER
de-DE,8,Gespeichert. Geteilt. / Leicht zu finden.,"Öffnen, umbenennen, teilen oder Ordner anzeigen.",VORHER,NACHHER
fr-FR,1,Tous vos outils PDF. / Une app sereine.,"Ouvrez, scannez, organisez et compressez.",AVANT,APRÈS
fr-FR,2,De la photo inclinée / au PDF net.,"Recadrez, corrigez et améliorez.",AVANT,APRÈS
fr-FR,3,Lisez sans distractions.,"Zoom fluide, recherche et favoris.",AVANT,APRÈS
fr-FR,4,Fichier réduit. Pages nettes.,Comparez la taille avant d’enregistrer.,AVANT,APRÈS
fr-FR,5,Transformez vos photos / en PDF soignés.,"Organisez, pivotez et choisissez la mise en page.",AVANT,APRÈS
fr-FR,6,Fusionnez et réorganisez / sereinement.,Prévisualisez chaque page avant d’enregistrer.,AVANT,APRÈS
fr-FR,7,Vos documents restent / sur votre appareil.,Le traitement PDF s’effectue localement.,AVANT,APRÈS
fr-FR,8,Enregistré. Partagé. / Facile à retrouver.,"Ouvrez, renommez, partagez ou affichez le dossier.",AVANT,APRÈS
ja-JP,1,PDFツールを、 / ひとつの快適なアプリに。,開く、スキャン、整理、圧縮。,変更前,変更後
ja-JP,2,傾いた写真を、 / きれいなPDFに。,切り抜き、補正、鮮明化。,変更前,変更後
ja-JP,3,集中できるPDFリーダー。,スムーズな拡大、検索、ブックマーク。,変更前,変更後
ja-JP,4,小さなファイル。 / 読みやすいページ。,保存前にサイズを比較。,変更前,変更後
ja-JP,5,写真を美しいPDFに。,並べ替え、回転、レイアウト選択。,変更前,変更後
ja-JP,6,安心して結合・並べ替え。,保存前に全ページを確認。,変更前,変更後
